date,id,description,account_handle,account_name,account_id,account_subscribers,statistics_actual_favoriteCount,statistics_actual_retweetCount,hashtags,media
2023-03-24 19:37:53+00:00,1639350842145792004,"Se forçar mais, sai a base da Virgínia 🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️",Rodringe,Rodringe,409540686,41425,0,0,,
2023-03-24 19:35:03+00:00,1639350130036858897,Que cochilo maravilhoso,rodrigotorresb,Base da Virginia,280385602,19050,0,0,,
2023-03-24 19:34:21+00:00,1639349952873738240,vou comprar a base da virgínia,smtnic,ؘ,1632039232830152704,106,0,0,,
2023-03-24 19:29:19+00:00,1639348689830305799,"As vzs nem eu acredito que lidero o atendimento de BI de outback, melitta, alelo, veloe, bauducco, andorinha e dr oetker… haja braço viu, mas só consigo pq meu time é mto bom",ednankf,base da virginia,1251741197183389696,217,0,0,,
2023-03-24 19:28:37+00:00,1639348509844332552,Nada é por coincidência esse programa foi o primeiro veículo que falou do vídeo antigo e agora vem com essa. Depois do pix que receberam da Virginia para falar bem da base está claro que as opiniões têm um preço,viveshje,Vivi,847487461236195328,755,11,0,,
2023-03-24 19:28:20+00:00,1639348442223857665,"mano, minha prima comprou a base da Virgínia KKKKKKKKKKK",caxmilinha,camilinha 💗,1142616127920660480,52,0,0,,
2023-03-24 19:26:57+00:00,1639348094100701185,Sério que tem gente ainda comprando e fazendo vídeos da base da virgínia?,iambichu,Bichu,71305399,370,0,0,,
2023-03-24 19:26:02+00:00,1639347862315102209,@souldemarte_ Fatos,rodrigotorresb,Base da Virginia,280385602,19050,0,0,,
2023-03-24 19:25:42+00:00,1639347776839376898,"“Eu não sou base da virgínia, mas por você eu me derreto todinha” KKKKK
Almeida, Karla 2023",juli4_rosario,Juh 💋,1530635969900204037,91,0,0,,
2023-03-24 19:12:44+00:00,1639344514702639105,"Comprei protetor solar errado (com cor) e agora parece que todo dia eu passo a base da Virgínia, q ódio",M0bRules,Bruna,2440234982,1520,2,0,,
2023-03-24 19:09:53+00:00,1639343796293971973,usou base da virginia 👇,Jureg_666,𝙨𝙖𝙡𝙖𝙛𝙧𝙖́𝙧𝙞𝙤 😶‍🌫,910707560159830018,131,0,0,,
2023-03-24 19:08:59+00:00,1639343572661968901,quase que meu celular foi de base da virginia.. entrei em desespero pq teria que vender uma parte do corpo pra comprar outro,treesbegone,dora,1569710096757977088,25,0,0,,
2023-03-24 19:07:53+00:00,1639343293807878155,@mayurinishmoto Base da Virgínia,_tomjr,Tom🦁🇯🇵,1261719735357620226,364,2,0,,
2023-03-24 19:06:15+00:00,1639342881184833539,@choquei Mas pedreiro ganha bem gente,aassumpp,base da virginia,1544457110896910337,128,0,0,,
2023-03-24 19:04:55+00:00,1639342548459085862,"@pfofocalizando @chrisflores e cia, vcs não tem vergonha não de passar informações errada?? Quanto de pix estão recebendo pra fazer essa canalhisse? E não é só isso não, teve aquele vídeo do ano passado, receberam pra desmentir aquele lance com a base da Virgínia. Vergonhoso",lucyg0312,Lucy G . Parody J1 🌵,929033727652614144,2085,2,0,,
2023-03-24 19:01:07+00:00,1639341592279408668,pq todo mundo começou a gostar da base da virginia do nada?,mstldn09,eduarda,1597193796512616449,15,0,0,,
2023-03-24 18:57:48+00:00,1639340757080211469,"Acho peculiar nossa curiosidade nata quanto à morte, ao falecimento né. Acho que está ligando a nosso medo do desconhecido e, quem sabe, também com instinto de sobrevivência. Mas todos sempre querem saber qual foi a causa da morte do outro.",iKadrash,Base da Virgínia,115067208,667,0,0,,
2023-03-24 18:57:07+00:00,1639340585306685463,certeza que isso de dia do marido foi criado por um gæ,igu_sil,Ghostface com base da Virginia,959822357375455232,104,0,0,,
2023-03-24 18:56:47+00:00,1639340500380418078,Irei me mudar pra outro país,xuliasantana,Base da virginia,828740652607401985,305,0,0,,
2023-03-24 18:53:57+00:00,1639339788862881799,"Nunca consumi nada relacionado a Virgínia, do nada, depois dessa tour toda da base, fica aparecendo tudo quanto é notícia sobre essa mulher… tiver que silenciar o nome dela",bbrmendes,bruno,568558610,807,0,0,,
2023-03-24 18:51:44+00:00,1639339228264792081,@thzephyrr simplesmente odeio,rafaelfelipeL,base da virginia,1242262862,968,0,0,,
2023-03-24 18:47:26+00:00,1639338149062098945,eu conheci alguém q comprou a base da virgínia… mds eu tô chocada,mikaralho_,Mikaralho 🌘📚 Vergonha,1146130137030811650,185,0,0,,
